"UGVKEY","mapped_fyear","dependent_E_t1","dependent_E_t2","dependent_E_t3","dependent_E_t4","dependent_E_t5"
"001004",1983,4.487,9.071,11.506,15.361,21.233
"001004",1984,9.071,11.506,15.361,21.233,24.814
"001004",1985,11.506,15.361,21.233,24.814,25.655
"001004",1986,15.361,21.233,24.814,25.655,14.801
"001004",1987,21.233,24.814,25.655,14.801,10.02
"001004",1988,24.814,25.655,14.801,10.02,0.283
"001004",1989,25.655,14.801,10.02,0.283,9.484
"001004",1990,14.801,10.02,0.283,9.484,10.463
"001004",1991,10.02,0.283,9.484,10.463,16.012
"001004",1992,0.283,9.484,10.463,16.012,23.025
"001004",1993,9.484,10.463,16.012,23.025,35.657
"001004",1994,10.463,16.012,23.025,35.657,41.671
"001004",1995,16.012,23.025,35.657,41.671,35.163
"001004",1996,23.025,35.657,41.671,35.163,18.531
"001004",1997,35.657,41.671,35.163,18.531,-58.939
"001004",1998,41.671,35.163,18.531,-58.939,-12.41
"001004",1999,35.163,18.531,-58.939,-12.41,3.504
"001004",2000,18.531,-58.939,-12.41,3.504,18.572
"001004",2001,-58.939,-12.41,3.504,18.572,35.163
"001004",2002,-12.41,3.504,18.572,35.163,59.447
"001004",2003,3.504,18.572,35.163,59.447,75.745
"001004",2004,18.572,35.163,59.447,75.745,80.6
"001004",2005,35.163,59.447,75.745,80.6,44.628
"001004",2006,59.447,75.745,80.6,44.628,73.139
"001004",2007,75.745,80.6,44.628,73.139,67.723
"001004",2008,80.6,44.628,73.139,67.723,55
"001004",2009,44.628,73.139,67.723,55,72.9
"001004",2010,73.139,67.723,55,72.9,-54.5
"001004",2011,67.723,55,72.9,-54.5,40.5
"001004",2012,55,72.9,-54.5,40.5,50.2
"001004",2013,72.9,-54.5,40.5,50.2,73.7
"001004",2014,-54.5,40.5,50.2,73.7,84.1
"001004",2015,40.5,50.2,73.7,84.1,24.8
"001004",2016,50.2,73.7,84.1,24.8,46.3
"001004",2017,73.7,84.1,24.8,46.3,78.5
"001004",2018,84.1,24.8,46.3,78.5,89.8
"001004",2019,24.8,46.3,78.5,89.8,NA
"001004",2020,46.3,78.5,89.8,NA,NA
"001004",2021,78.5,89.8,NA,NA,NA
"001004",2022,89.8,NA,NA,NA,NA
"001004",2023,NA,NA,NA,NA,NA
"001009",1993,3.362,4.523,NA,NA,NA
"001009",1994,4.523,NA,NA,NA,NA
"001009",1995,NA,NA,NA,NA,NA
"001010",1975,30.724,34.027,35.911,41.21,47.841
"001010",1976,34.027,35.911,41.21,47.841,44.756
"001010",1977,35.911,41.21,47.841,44.756,47.525
"001010",1978,41.21,47.841,44.756,47.525,33.076
"001010",1979,47.841,44.756,47.525,33.076,NA
"001010",1980,44.756,47.525,33.076,NA,NA
"001010",1981,47.525,33.076,NA,NA,NA
"001010",1982,33.076,NA,NA,NA,NA
"001010",1983,NA,NA,NA,NA,NA
"001011",1994,-9.198,NA,NA,NA,NA
"001011",1995,NA,NA,NA,NA,NA
"001012",1989,NA,NA,NA,NA,NA
"001013",1990,22.903,22.025,21.026,31.636,40.521
"001013",1991,22.025,21.026,31.636,40.521,55.186
"001013",1992,21.026,31.636,40.521,55.186,87.463
"001013",1993,31.636,40.521,55.186,87.463,108.837
"001013",1994,40.521,55.186,87.463,108.837,146.727
"001013",1995,55.186,87.463,108.837,146.727,87.635
"001013",1996,87.463,108.837,146.727,87.635,868.1
"001013",1997,108.837,146.727,87.635,868.1,-1287.7
"001013",1998,146.727,87.635,868.1,-1287.7,-1145
"001013",1999,87.635,868.1,-1287.7,-1145,-76.7
"001013",2000,868.1,-1287.7,-1145,-76.7,31.3
"001013",2001,-1287.7,-1145,-76.7,31.3,85.5
"001013",2002,-1145,-76.7,31.3,85.5,94.2
"001013",2003,-76.7,31.3,85.5,94.2,113.3
"001013",2004,31.3,85.5,94.2,113.3,-44.4
"001013",2005,85.5,94.2,113.3,-44.4,-465.7
"001013",2006,94.2,113.3,-44.4,-465.7,NA
"001013",2007,113.3,-44.4,-465.7,NA,NA
"001013",2008,-44.4,-465.7,NA,NA,NA
"001013",2009,-465.7,NA,NA,NA,NA
"001013",2010,NA,NA,NA,NA,NA
"001016",1986,0.987,NA,NA,NA,NA
"001016",1987,NA,NA,NA,NA,NA
"001017",1983,7.354,4.739,3.321,2.126,-1.984
"001017",1984,4.739,3.321,2.126,-1.984,-8.987
