"","mapped_fyear","Size_category","BM_category","total_firms","total_DD","total_NegE","percent_DD","percent_NegE"
"1",1964,"Small cap","Med BM",1,1,0,100,0
"2",1964,"Small cap","High BM",2,2,1,100,50
"3",1964,"Medium cap","Low BM",1,0,1,0,100
"4",1964,"Medium cap","Med BM",1,1,1,100,100
"5",1964,"Medium cap","High BM",5,5,0,100,0
"6",1964,"Large cap","Low BM",1,1,0,100,0
"7",1964,"Large cap","Med BM",1,1,0,100,0
"8",1965,"Small cap","Low BM",4,1,2,25,50
"9",1965,"Small cap","Med BM",10,7,1,70,10
"10",1965,"Small cap","High BM",8,7,2,88,25
"11",1965,"Medium cap","Low BM",6,4,0,67,0
"12",1965,"Medium cap","Med BM",16,16,0,100,0
"13",1965,"Medium cap","High BM",17,16,0,94,0
"14",1965,"Large cap","Low BM",21,19,1,90,5
"15",1965,"Large cap","Med BM",14,14,0,100,0
"16",1965,"Large cap","High BM",8,8,1,100,12
"17",1966,"Small cap","Low BM",8,5,3,62,38
"18",1966,"Small cap","Med BM",15,14,1,93,7
"19",1966,"Small cap","High BM",19,15,2,79,11
"20",1966,"Medium cap","Low BM",15,13,0,87,0
"21",1966,"Medium cap","Med BM",28,26,1,93,4
"22",1966,"Medium cap","High BM",23,23,2,100,9
"23",1966,"Large cap","Low BM",34,32,0,94,0
"24",1966,"Large cap","Med BM",15,15,0,100,0
"25",1966,"Large cap","High BM",12,12,1,100,8
"26",1967,"Small cap","Low BM",14,7,3,50,21
"27",1967,"Small cap","Med BM",19,13,0,68,0
"28",1967,"Small cap","High BM",24,16,4,67,17
"29",1967,"Medium cap","Low BM",27,21,1,78,4
"30",1967,"Medium cap","Med BM",30,28,0,93,0
"31",1967,"Medium cap","High BM",26,26,2,100,8
"32",1967,"Large cap","Low BM",32,31,1,97,3
"33",1967,"Large cap","Med BM",27,27,0,100,0
"34",1967,"Large cap","High BM",13,13,0,100,0
"35",1968,"Small cap","Low BM",24,14,1,58,4
"36",1968,"Small cap","Med BM",27,19,4,70,15
"37",1968,"Small cap","High BM",29,21,6,72,21
"38",1968,"Medium cap","Low BM",37,18,2,49,5
"39",1968,"Medium cap","Med BM",31,28,0,90,0
"40",1968,"Medium cap","High BM",27,27,1,100,4
"41",1968,"Large cap","Low BM",28,25,0,89,0
"42",1968,"Large cap","Med BM",38,38,0,100,0
"43",1968,"Large cap","High BM",22,22,0,100,0
"44",1969,"Small cap","Low BM",21,8,6,38,29
"45",1969,"Small cap","Med BM",38,26,1,68,3
"46",1969,"Small cap","High BM",50,37,4,74,8
"47",1969,"Medium cap","Low BM",56,29,8,52,14
"48",1969,"Medium cap","Med BM",46,40,1,87,2
"49",1969,"Medium cap","High BM",35,33,1,94,3
"50",1969,"Large cap","Low BM",27,26,0,96,0
"51",1969,"Large cap","Med BM",41,40,0,98,0
"52",1969,"Large cap","High BM",28,28,1,100,4
"53",1970,"Small cap","Low BM",45,19,12,42,27
"54",1970,"Small cap","Med BM",84,47,15,56,18
"55",1970,"Small cap","High BM",86,59,19,69,22
"56",1970,"Medium cap","Low BM",85,48,4,56,5
"57",1970,"Medium cap","Med BM",90,81,7,90,8
"58",1970,"Medium cap","High BM",63,60,3,95,5
"59",1970,"Large cap","Low BM",82,74,0,90,0
"60",1970,"Large cap","Med BM",51,49,0,96,0
"61",1970,"Large cap","High BM",28,28,2,100,7
"62",1971,"Small cap","Low BM",82,26,27,32,33
"63",1971,"Small cap","Med BM",194,89,44,46,23
"64",1971,"Small cap","High BM",255,165,59,65,23
"65",1971,"Medium cap","Low BM",195,123,15,63,8
"66",1971,"Medium cap","Med BM",261,216,11,83,4
"67",1971,"Medium cap","High BM",216,198,32,92,15
"68",1971,"Large cap","Low BM",231,211,3,91,1
"69",1971,"Large cap","Med BM",198,195,7,98,4
"70",1971,"Large cap","High BM",80,79,7,99,9
"71",1972,"Small cap","Low BM",80,26,30,32,38
"72",1972,"Small cap","Med BM",193,84,39,44,20
"73",1972,"Small cap","High BM",277,150,68,54,25
"74",1972,"Medium cap","Low BM",220,127,21,58,10
"75",1972,"Medium cap","Med BM",298,228,16,77,5
"76",1972,"Medium cap","High BM",239,204,30,85,13
"77",1972,"Large cap","Low BM",278,248,2,89,1
"78",1972,"Large cap","Med BM",206,203,4,99,2
"79",1972,"Large cap","High BM",88,84,7,95,8
"80",1973,"Small cap","Low BM",44,14,16,32,36
"81",1973,"Small cap","Med BM",196,95,21,48,11
"82",1973,"Small cap","High BM",353,157,71,44,20
"83",1973,"Medium cap","Low BM",169,84,13,50,8
"84",1973,"Medium cap","Med BM",360,261,12,72,3
"85",1973,"Medium cap","High BM",316,247,20,78,6
"86",1973,"Large cap","Low BM",325,288,3,89,1
"87",1973,"Large cap","Med BM",251,238,3,95,1
"88",1973,"Large cap","High BM",104,99,0,95,0
"89",1974,"Small cap","Low BM",120,39,27,32,22
"90",1974,"Small cap","Med BM",321,160,28,50,9
"91",1974,"Small cap","High BM",479,224,99,47,21
"92",1974,"Medium cap","Low BM",361,183,23,51,6
"93",1974,"Medium cap","Med BM",511,386,10,76,2
"94",1974,"Medium cap","High BM",363,282,28,78,8
"95",1974,"Large cap","Low BM",425,385,1,91,0
"96",1974,"Large cap","Med BM",294,278,1,95,0
"97",1974,"Large cap","High BM",107,99,6,93,6
"98",1975,"Small cap","Low BM",113,27,35,24,31
"99",1975,"Small cap","Med BM",298,137,52,46,17
"100",1975,"Small cap","High BM",489,233,102,48,21
"101",1975,"Medium cap","Low BM",393,205,30,52,8
"102",1975,"Medium cap","Med BM",603,469,28,78,5
"103",1975,"Medium cap","High BM",392,309,38,79,10
"104",1975,"Large cap","Low BM",498,447,4,90,1
"105",1975,"Large cap","Med BM",403,390,8,97,2
"106",1975,"Large cap","High BM",93,90,8,97,9
"107",1976,"Small cap","Low BM",175,43,63,25,36
"108",1976,"Small cap","Med BM",333,160,56,48,17
"109",1976,"Small cap","High BM",575,250,148,43,26
"110",1976,"Medium cap","Low BM",401,224,41,56,10
"111",1976,"Medium cap","Med BM",634,506,31,80,5
"112",1976,"Medium cap","High BM",383,311,59,81,15
"113",1976,"Large cap","Low BM",486,446,6,92,1
"114",1976,"Large cap","Med BM",430,410,10,95,2
"115",1976,"Large cap","High BM",90,84,8,93,9
"116",1977,"Small cap","Low BM",185,54,65,29,35
"117",1977,"Small cap","Med BM",306,161,41,53,13
"118",1977,"Small cap","High BM",578,269,126,47,22
"119",1977,"Medium cap","Low BM",411,260,34,63,8
"120",1977,"Medium cap","Med BM",622,519,18,83,3
"121",1977,"Medium cap","High BM",371,311,35,84,9
"122",1977,"Large cap","Low BM",469,432,4,92,1
"123",1977,"Large cap","Med BM",443,430,2,97,0
"124",1977,"Large cap","High BM",95,89,3,94,3
"125",1978,"Small cap","Low BM",200,61,57,30,28
"126",1978,"Small cap","Med BM",295,169,43,57,15
"127",1978,"Small cap","High BM",503,259,99,51,20
"128",1978,"Medium cap","Low BM",446,299,34,67,8
"129",1978,"Medium cap","Med BM",574,491,23,86,4
"130",1978,"Medium cap","High BM",351,318,34,91,10
"131",1978,"Large cap","Low BM",376,348,1,93,0
"132",1978,"Large cap","Med BM",465,455,4,98,1
"133",1978,"Large cap","High BM",153,150,5,98,3
"134",1979,"Small cap","Low BM",198,50,65,25,33
"135",1979,"Small cap","Med BM",287,160,37,56,13
"136",1979,"Small cap","High BM",495,268,96,54,19
"137",1979,"Medium cap","Low BM",414,245,42,59,10
"138",1979,"Medium cap","Med BM",571,511,18,89,3
"139",1979,"Medium cap","High BM",373,325,19,87,5
"140",1979,"Large cap","Low BM",354,317,2,90,1
"141",1979,"Large cap","Med BM",515,506,4,98,1
"142",1979,"Large cap","High BM",153,149,5,97,3
"143",1980,"Small cap","Low BM",200,48,83,24,42
"144",1980,"Small cap","Med BM",312,156,41,50,13
"145",1980,"Small cap","High BM",501,270,111,54,22
"146",1980,"Medium cap","Low BM",414,200,59,48,14
"147",1980,"Medium cap","Med BM",549,478,22,87,4
"148",1980,"Medium cap","High BM",361,327,25,91,7
"149",1980,"Large cap","Low BM",346,290,4,84,1
"150",1980,"Large cap","Med BM",543,534,2,98,0
"151",1980,"Large cap","High BM",146,141,7,97,5
"152",1981,"Small cap","Low BM",206,41,100,20,49
"153",1981,"Small cap","Med BM",315,121,79,38,25
"154",1981,"Small cap","High BM",471,259,116,55,25
"155",1981,"Medium cap","Low BM",393,146,79,37,20
"156",1981,"Medium cap","Med BM",587,475,34,81,6
"157",1981,"Medium cap","High BM",354,321,44,91,12
"158",1981,"Large cap","Low BM",324,256,7,79,2
"159",1981,"Large cap","Med BM",542,523,4,96,1
"160",1981,"Large cap","High BM",208,203,10,98,5
"161",1982,"Small cap","Low BM",271,43,158,16,58
"162",1982,"Small cap","Med BM",339,94,111,28,33
"163",1982,"Small cap","High BM",432,201,155,47,36
"164",1982,"Medium cap","Low BM",431,143,96,33,22
"165",1982,"Medium cap","Med BM",601,434,58,72,10
"166",1982,"Medium cap","High BM",378,321,50,85,13
"167",1982,"Large cap","Low BM",319,245,13,77,4
"168",1982,"Large cap","Med BM",555,536,8,97,1
"169",1982,"Large cap","High BM",225,220,13,98,6
"170",1983,"Small cap","Low BM",277,39,194,14,70
"171",1983,"Small cap","Med BM",406,115,164,28,40
"172",1983,"Small cap","High BM",407,151,183,37,45
"173",1983,"Medium cap","Low BM",444,148,140,33,32
"174",1983,"Medium cap","Med BM",596,392,89,66,15
"175",1983,"Medium cap","High BM",396,312,99,79,25
"176",1983,"Large cap","Low BM",313,212,23,68,7
"177",1983,"Large cap","Med BM",548,515,22,94,4
"178",1983,"Large cap","High BM",286,281,37,98,13
"179",1984,"Small cap","Low BM",314,45,206,14,66
"180",1984,"Small cap","Med BM",401,91,167,23,42
"181",1984,"Small cap","High BM",422,138,204,33,48
"182",1984,"Medium cap","Low BM",419,128,157,31,37
"183",1984,"Medium cap","Med BM",650,381,99,59,15
"184",1984,"Medium cap","High BM",400,278,95,70,24
"185",1984,"Large cap","Low BM",323,213,17,66,5
"186",1984,"Large cap","Med BM",574,514,32,90,6
"187",1984,"Large cap","High BM",317,308,46,97,15
"188",1985,"Small cap","Low BM",332,40,241,12,73
"189",1985,"Small cap","Med BM",387,72,163,19,42
"190",1985,"Small cap","High BM",493,143,241,29,49
"191",1985,"Medium cap","Low BM",456,115,172,25,38
"192",1985,"Medium cap","Med BM",638,338,82,53,13
"193",1985,"Medium cap","High BM",471,290,104,62,22
"194",1985,"Large cap","Low BM",345,240,16,70,5
"195",1985,"Large cap","Med BM",587,520,14,89,2
"196",1985,"Large cap","High BM",280,264,32,94,11
"197",1986,"Small cap","Low BM",319,39,249,12,78
"198",1986,"Small cap","Med BM",383,58,187,15,49
"199",1986,"Small cap","High BM",537,137,291,26,54
"200",1986,"Medium cap","Low BM",395,92,179,23,45
"201",1986,"Medium cap","Med BM",658,326,104,50,16
"202",1986,"Medium cap","High BM",457,270,142,59,31
"203",1986,"Large cap","Low BM",345,235,28,68,8
"204",1986,"Large cap","Med BM",620,529,45,85,7
"205",1986,"Large cap","High BM",264,241,54,91,20
"206",1987,"Small cap","Low BM",338,58,268,17,79
"207",1987,"Small cap","Med BM",394,61,200,15,51
"208",1987,"Small cap","High BM",559,112,297,20,53
"209",1987,"Medium cap","Low BM",436,91,217,21,50
"210",1987,"Medium cap","Med BM",648,284,130,44,20
"211",1987,"Medium cap","High BM",454,249,140,55,31
"212",1987,"Large cap","Low BM",353,227,38,64,11
"213",1987,"Large cap","Med BM",709,587,79,83,11
"214",1987,"Large cap","High BM",228,202,52,89,23
"215",1988,"Small cap","Low BM",382,63,296,16,77
"216",1988,"Small cap","Med BM",405,51,196,13,48
"217",1988,"Small cap","High BM",585,96,339,16,58
"218",1988,"Medium cap","Low BM",503,107,254,21,50
"219",1988,"Medium cap","Med BM",707,280,123,40,17
"220",1988,"Medium cap","High BM",431,213,138,49,32
"221",1988,"Large cap","Low BM",444,287,38,65,9
"222",1988,"Large cap","Med BM",697,577,50,83,7
"223",1988,"Large cap","High BM",181,159,24,88,13
"224",1989,"Small cap","Low BM",432,63,323,15,75
"225",1989,"Small cap","Med BM",342,46,169,13,49
"226",1989,"Small cap","High BM",612,110,350,18,57
"227",1989,"Medium cap","Low BM",536,116,268,22,50
"228",1989,"Medium cap","Med BM",692,275,137,40,20
"229",1989,"Medium cap","High BM",511,270,148,53,29
"230",1989,"Large cap","Low BM",456,295,49,65,11
"231",1989,"Large cap","Med BM",748,639,46,85,6
"232",1989,"Large cap","High BM",190,163,16,86,8
"233",1990,"Small cap","Low BM",461,89,352,19,76
"234",1990,"Small cap","Med BM",398,47,197,12,49
"235",1990,"Small cap","High BM",647,116,379,18,59
"236",1990,"Medium cap","Low BM",584,148,272,25,47
"237",1990,"Medium cap","Med BM",727,319,162,44,22
"238",1990,"Medium cap","High BM",529,284,160,54,30
"239",1990,"Large cap","Low BM",472,277,65,59,14
"240",1990,"Large cap","Med BM",803,667,47,83,6
"241",1990,"Large cap","High BM",182,162,28,89,15
"242",1991,"Small cap","Low BM",416,86,316,21,76
"243",1991,"Small cap","Med BM",388,48,213,12,55
"244",1991,"Small cap","High BM",688,139,389,20,57
"245",1991,"Medium cap","Low BM",630,142,285,23,45
"246",1991,"Medium cap","Med BM",715,314,134,44,19
"247",1991,"Medium cap","High BM",519,274,171,53,33
"248",1991,"Large cap","Low BM",490,278,58,57,12
"249",1991,"Large cap","Med BM",827,669,62,81,7
"250",1991,"Large cap","High BM",169,146,37,86,22
"251",1992,"Small cap","Low BM",443,93,317,21,72
"252",1992,"Small cap","Med BM",415,63,186,15,45
"253",1992,"Small cap","High BM",699,157,378,22,54
"254",1992,"Medium cap","Low BM",655,169,310,26,47
"255",1992,"Medium cap","Med BM",717,294,143,41,20
"256",1992,"Medium cap","High BM",581,295,189,51,33
"257",1992,"Large cap","Low BM",493,276,78,56,16
"258",1992,"Large cap","Med BM",846,673,89,80,11
"259",1992,"Large cap","High BM",208,170,48,82,23
"260",1993,"Small cap","Low BM",458,98,316,21,69
"261",1993,"Small cap","Med BM",449,84,189,19,42
"262",1993,"Small cap","High BM",749,192,350,26,47
"263",1993,"Medium cap","Low BM",658,176,322,27,49
"264",1993,"Medium cap","Med BM",793,294,177,37,22
"265",1993,"Medium cap","High BM",599,278,162,46,27
"266",1993,"Large cap","Low BM",577,318,88,55,15
"267",1993,"Large cap","Med BM",863,694,83,80,10
"268",1993,"Large cap","High BM",218,179,52,82,24
"269",1994,"Small cap","Low BM",531,127,360,24,68
"270",1994,"Small cap","Med BM",552,107,255,19,46
"271",1994,"Small cap","High BM",758,183,352,24,46
"272",1994,"Medium cap","Low BM",797,198,356,25,45
"273",1994,"Medium cap","Med BM",885,343,194,39,22
"274",1994,"Medium cap","High BM",573,275,143,48,25
"275",1994,"Large cap","Low BM",674,357,99,53,15
"276",1994,"Large cap","Med BM",890,689,94,77,11
"277",1994,"Large cap","High BM",266,221,48,83,18
"278",1995,"Small cap","Low BM",502,115,366,23,73
"279",1995,"Small cap","Med BM",578,94,267,16,46
"280",1995,"Small cap","High BM",806,199,379,25,47
"281",1995,"Medium cap","Low BM",806,191,354,24,44
"282",1995,"Medium cap","Med BM",922,323,174,35,19
"283",1995,"Medium cap","High BM",596,300,128,50,21
"284",1995,"Large cap","Low BM",762,351,109,46,14
"285",1995,"Large cap","Med BM",923,705,68,76,7
"286",1995,"Large cap","High BM",235,193,25,82,11
"287",1996,"Small cap","Low BM",521,121,387,23,74
"288",1996,"Small cap","Med BM",646,131,297,20,46
"289",1996,"Small cap","High BM",814,200,365,25,45
"290",1996,"Medium cap","Low BM",882,222,425,25,48
"291",1996,"Medium cap","Med BM",981,301,208,31,21
"292",1996,"Medium cap","High BM",619,321,134,52,22
"293",1996,"Large cap","Low BM",778,321,164,41,21
"294",1996,"Large cap","Med BM",991,707,99,71,10
"295",1996,"Large cap","High BM",298,250,32,84,11
"296",1997,"Small cap","Low BM",517,122,371,24,72
"297",1997,"Small cap","Med BM",609,127,315,21,52
"298",1997,"Small cap","High BM",984,229,473,23,48
"299",1997,"Medium cap","Low BM",817,205,403,25,49
"300",1997,"Medium cap","Med BM",1038,328,256,32,25
"301",1997,"Medium cap","High BM",689,294,181,43,26
"302",1997,"Large cap","Low BM",881,430,134,49,15
"303",1997,"Large cap","Med BM",953,654,96,69,10
