"","mapped_fyear","Size_category","BM_category","total_firms","total_DD","total_NegE","percent_DD","percent_NegE"
"1",1964,"Small cap","Med BM",1,1,0,100,0
"2",1964,"Small cap","High BM",2,2,1,100,50
"3",1964,"Medium cap","Low BM",1,0,1,0,100
"4",1964,"Medium cap","Med BM",1,1,1,100,100
"5",1964,"Medium cap","High BM",5,5,0,100,0
"6",1964,"Large cap","Low BM",1,1,0,100,0
"7",1964,"Large cap","Med BM",1,1,0,100,0
"8",1965,"Small cap","Low BM",4,1,2,25,50
"9",1965,"Small cap","Med BM",10,7,1,70,10
"10",1965,"Small cap","High BM",8,7,2,87.5,25
"11",1965,"Medium cap","Low BM",6,4,0,66.67,0
"12",1965,"Medium cap","Med BM",16,16,0,100,0
"13",1965,"Medium cap","High BM",17,16,0,94.12,0
"14",1965,"Large cap","Low BM",21,19,1,90.48,4.76
"15",1965,"Large cap","Med BM",14,14,0,100,0
"16",1965,"Large cap","High BM",8,8,1,100,12.5
"17",1966,"Small cap","Low BM",8,5,3,62.5,37.5
"18",1966,"Small cap","Med BM",15,14,1,93.33,6.67
"19",1966,"Small cap","High BM",19,15,2,78.95,10.53
"20",1966,"Medium cap","Low BM",15,13,0,86.67,0
"21",1966,"Medium cap","Med BM",28,26,1,92.86,3.57
"22",1966,"Medium cap","High BM",23,23,2,100,8.7
"23",1966,"Large cap","Low BM",34,32,0,94.12,0
"24",1966,"Large cap","Med BM",15,15,0,100,0
"25",1966,"Large cap","High BM",12,12,1,100,8.33
"26",1967,"Small cap","Low BM",14,7,3,50,21.43
"27",1967,"Small cap","Med BM",19,13,0,68.42,0
"28",1967,"Small cap","High BM",24,16,4,66.67,16.67
"29",1967,"Medium cap","Low BM",27,21,1,77.78,3.7
"30",1967,"Medium cap","Med BM",30,28,0,93.33,0
"31",1967,"Medium cap","High BM",26,26,2,100,7.69
"32",1967,"Large cap","Low BM",32,31,1,96.88,3.12
"33",1967,"Large cap","Med BM",27,27,0,100,0
"34",1967,"Large cap","High BM",13,13,0,100,0
"35",1968,"Small cap","Low BM",24,14,1,58.33,4.17
"36",1968,"Small cap","Med BM",27,19,4,70.37,14.81
"37",1968,"Small cap","High BM",29,21,6,72.41,20.69
"38",1968,"Medium cap","Low BM",37,18,2,48.65,5.41
"39",1968,"Medium cap","Med BM",31,28,0,90.32,0
"40",1968,"Medium cap","High BM",27,27,1,100,3.7
"41",1968,"Large cap","Low BM",28,25,0,89.29,0
"42",1968,"Large cap","Med BM",38,38,0,100,0
"43",1968,"Large cap","High BM",22,22,0,100,0
"44",1969,"Small cap","Low BM",21,8,6,38.1,28.57
"45",1969,"Small cap","Med BM",38,26,1,68.42,2.63
"46",1969,"Small cap","High BM",50,37,4,74,8
"47",1969,"Medium cap","Low BM",56,29,8,51.79,14.29
"48",1969,"Medium cap","Med BM",46,40,1,86.96,2.17
"49",1969,"Medium cap","High BM",35,33,1,94.29,2.86
"50",1969,"Large cap","Low BM",27,26,0,96.3,0
"51",1969,"Large cap","Med BM",41,40,0,97.56,0
"52",1969,"Large cap","High BM",28,28,1,100,3.57
"53",1970,"Small cap","Low BM",45,19,12,42.22,26.67
"54",1970,"Small cap","Med BM",84,47,15,55.95,17.86
"55",1970,"Small cap","High BM",86,59,19,68.6,22.09
"56",1970,"Medium cap","Low BM",85,48,4,56.47,4.71
"57",1970,"Medium cap","Med BM",90,81,7,90,7.78
"58",1970,"Medium cap","High BM",63,60,3,95.24,4.76
"59",1970,"Large cap","Low BM",82,74,0,90.24,0
"60",1970,"Large cap","Med BM",51,49,0,96.08,0
"61",1970,"Large cap","High BM",28,28,2,100,7.14
"62",1971,"Small cap","Low BM",82,26,27,31.71,32.93
"63",1971,"Small cap","Med BM",194,89,44,45.88,22.68
"64",1971,"Small cap","High BM",255,165,59,64.71,23.14
"65",1971,"Medium cap","Low BM",195,123,15,63.08,7.69
"66",1971,"Medium cap","Med BM",261,216,11,82.76,4.21
"67",1971,"Medium cap","High BM",216,198,32,91.67,14.81
"68",1971,"Large cap","Low BM",231,211,3,91.34,1.3
"69",1971,"Large cap","Med BM",198,195,7,98.48,3.54
"70",1971,"Large cap","High BM",80,79,7,98.75,8.75
"71",1972,"Small cap","Low BM",80,26,30,32.5,37.5
"72",1972,"Small cap","Med BM",193,84,39,43.52,20.21
"73",1972,"Small cap","High BM",277,150,68,54.15,24.55
"74",1972,"Medium cap","Low BM",220,127,21,57.73,9.55
"75",1972,"Medium cap","Med BM",298,228,16,76.51,5.37
"76",1972,"Medium cap","High BM",239,204,30,85.36,12.55
"77",1972,"Large cap","Low BM",278,248,2,89.21,0.72
"78",1972,"Large cap","Med BM",206,203,4,98.54,1.94
"79",1972,"Large cap","High BM",88,84,7,95.45,7.95
"80",1973,"Small cap","Low BM",44,14,16,31.82,36.36
"81",1973,"Small cap","Med BM",196,95,21,48.47,10.71
"82",1973,"Small cap","High BM",353,157,71,44.48,20.11
"83",1973,"Medium cap","Low BM",169,84,13,49.7,7.69
"84",1973,"Medium cap","Med BM",360,261,12,72.5,3.33
"85",1973,"Medium cap","High BM",316,247,20,78.16,6.33
"86",1973,"Large cap","Low BM",325,288,3,88.62,0.92
"87",1973,"Large cap","Med BM",251,238,3,94.82,1.2
"88",1973,"Large cap","High BM",104,99,0,95.19,0
"89",1974,"Small cap","Low BM",120,39,27,32.5,22.5
"90",1974,"Small cap","Med BM",321,160,28,49.84,8.72
"91",1974,"Small cap","High BM",479,224,99,46.76,20.67
"92",1974,"Medium cap","Low BM",361,183,23,50.69,6.37
"93",1974,"Medium cap","Med BM",511,386,10,75.54,1.96
"94",1974,"Medium cap","High BM",363,282,28,77.69,7.71
"95",1974,"Large cap","Low BM",425,385,1,90.59,0.24
"96",1974,"Large cap","Med BM",294,278,1,94.56,0.34
"97",1974,"Large cap","High BM",107,99,6,92.52,5.61
"98",1975,"Small cap","Low BM",113,27,35,23.89,30.97
"99",1975,"Small cap","Med BM",298,137,52,45.97,17.45
"100",1975,"Small cap","High BM",489,233,102,47.65,20.86
"101",1975,"Medium cap","Low BM",393,205,30,52.16,7.63
"102",1975,"Medium cap","Med BM",603,469,28,77.78,4.64
"103",1975,"Medium cap","High BM",392,309,38,78.83,9.69
"104",1975,"Large cap","Low BM",498,447,4,89.76,0.8
"105",1975,"Large cap","Med BM",403,390,8,96.77,1.99
"106",1975,"Large cap","High BM",93,90,8,96.77,8.6
"107",1976,"Small cap","Low BM",175,43,63,24.57,36
"108",1976,"Small cap","Med BM",333,160,56,48.05,16.82
"109",1976,"Small cap","High BM",575,250,148,43.48,25.74
"110",1976,"Medium cap","Low BM",401,224,41,55.86,10.22
"111",1976,"Medium cap","Med BM",634,506,31,79.81,4.89
"112",1976,"Medium cap","High BM",383,311,59,81.2,15.4
"113",1976,"Large cap","Low BM",486,446,6,91.77,1.23
"114",1976,"Large cap","Med BM",430,410,10,95.35,2.33
"115",1976,"Large cap","High BM",90,84,8,93.33,8.89
"116",1977,"Small cap","Low BM",185,54,65,29.19,35.14
"117",1977,"Small cap","Med BM",306,161,41,52.61,13.4
"118",1977,"Small cap","High BM",578,269,126,46.54,21.8
"119",1977,"Medium cap","Low BM",411,260,34,63.26,8.27
"120",1977,"Medium cap","Med BM",622,519,18,83.44,2.89
"121",1977,"Medium cap","High BM",371,311,35,83.83,9.43
"122",1977,"Large cap","Low BM",469,432,4,92.11,0.85
"123",1977,"Large cap","Med BM",443,430,2,97.07,0.45
"124",1977,"Large cap","High BM",95,89,3,93.68,3.16
"125",1978,"Small cap","Low BM",200,61,57,30.5,28.5
"126",1978,"Small cap","Med BM",295,169,43,57.29,14.58
"127",1978,"Small cap","High BM",503,259,99,51.49,19.68
"128",1978,"Medium cap","Low BM",446,299,34,67.04,7.62
"129",1978,"Medium cap","Med BM",574,491,23,85.54,4.01
"130",1978,"Medium cap","High BM",351,318,34,90.6,9.69
"131",1978,"Large cap","Low BM",376,348,1,92.55,0.27
"132",1978,"Large cap","Med BM",465,455,4,97.85,0.86
"133",1978,"Large cap","High BM",153,150,5,98.04,3.27
"134",1979,"Small cap","Low BM",198,50,65,25.25,32.83
"135",1979,"Small cap","Med BM",287,160,37,55.75,12.89
"136",1979,"Small cap","High BM",495,268,96,54.14,19.39
"137",1979,"Medium cap","Low BM",414,245,42,59.18,10.14
"138",1979,"Medium cap","Med BM",571,511,18,89.49,3.15
"139",1979,"Medium cap","High BM",373,325,19,87.13,5.09
"140",1979,"Large cap","Low BM",354,317,2,89.55,0.56
"141",1979,"Large cap","Med BM",515,506,4,98.25,0.78
"142",1979,"Large cap","High BM",153,149,5,97.39,3.27
"143",1980,"Small cap","Low BM",200,48,83,24,41.5
"144",1980,"Small cap","Med BM",312,156,41,50,13.14
"145",1980,"Small cap","High BM",501,270,111,53.89,22.16
"146",1980,"Medium cap","Low BM",414,200,59,48.31,14.25
"147",1980,"Medium cap","Med BM",549,478,22,87.07,4.01
"148",1980,"Medium cap","High BM",361,327,25,90.58,6.93
"149",1980,"Large cap","Low BM",346,290,4,83.82,1.16
"150",1980,"Large cap","Med BM",543,534,2,98.34,0.37
"151",1980,"Large cap","High BM",146,141,7,96.58,4.79
"152",1981,"Small cap","Low BM",206,41,100,19.9,48.54
"153",1981,"Small cap","Med BM",315,121,79,38.41,25.08
"154",1981,"Small cap","High BM",471,259,116,54.99,24.63
"155",1981,"Medium cap","Low BM",393,146,79,37.15,20.1
"156",1981,"Medium cap","Med BM",587,475,34,80.92,5.79
"157",1981,"Medium cap","High BM",354,321,44,90.68,12.43
"158",1981,"Large cap","Low BM",324,256,7,79.01,2.16
"159",1981,"Large cap","Med BM",542,523,4,96.49,0.74
"160",1981,"Large cap","High BM",208,203,10,97.6,4.81
"161",1982,"Small cap","Low BM",271,43,158,15.87,58.3
"162",1982,"Small cap","Med BM",339,94,111,27.73,32.74
"163",1982,"Small cap","High BM",432,201,155,46.53,35.88
"164",1982,"Medium cap","Low BM",431,143,96,33.18,22.27
"165",1982,"Medium cap","Med BM",601,434,58,72.21,9.65
"166",1982,"Medium cap","High BM",378,321,50,84.92,13.23
"167",1982,"Large cap","Low BM",319,245,13,76.8,4.08
"168",1982,"Large cap","Med BM",555,536,8,96.58,1.44
"169",1982,"Large cap","High BM",225,220,13,97.78,5.78
"170",1983,"Small cap","Low BM",277,39,194,14.08,70.04
"171",1983,"Small cap","Med BM",406,115,164,28.33,40.39
"172",1983,"Small cap","High BM",407,151,183,37.1,44.96
"173",1983,"Medium cap","Low BM",444,148,140,33.33,31.53
"174",1983,"Medium cap","Med BM",596,392,89,65.77,14.93
"175",1983,"Medium cap","High BM",396,312,99,78.79,25
"176",1983,"Large cap","Low BM",313,212,23,67.73,7.35
"177",1983,"Large cap","Med BM",548,515,22,93.98,4.01
"178",1983,"Large cap","High BM",286,281,37,98.25,12.94
"179",1984,"Small cap","Low BM",314,45,206,14.33,65.61
"180",1984,"Small cap","Med BM",401,91,167,22.69,41.65
"181",1984,"Small cap","High BM",422,138,204,32.7,48.34
"182",1984,"Medium cap","Low BM",419,128,157,30.55,37.47
"183",1984,"Medium cap","Med BM",650,381,99,58.62,15.23
"184",1984,"Medium cap","High BM",400,278,95,69.5,23.75
"185",1984,"Large cap","Low BM",323,213,17,65.94,5.26
"186",1984,"Large cap","Med BM",574,514,32,89.55,5.57
"187",1984,"Large cap","High BM",317,308,46,97.16,14.51
"188",1985,"Small cap","Low BM",332,40,241,12.05,72.59
"189",1985,"Small cap","Med BM",387,72,163,18.6,42.12
"190",1985,"Small cap","High BM",493,143,241,29.01,48.88
"191",1985,"Medium cap","Low BM",456,115,172,25.22,37.72
"192",1985,"Medium cap","Med BM",638,338,82,52.98,12.85
"193",1985,"Medium cap","High BM",471,290,104,61.57,22.08
"194",1985,"Large cap","Low BM",345,240,16,69.57,4.64
"195",1985,"Large cap","Med BM",587,520,14,88.59,2.39
"196",1985,"Large cap","High BM",280,264,32,94.29,11.43
"197",1986,"Small cap","Low BM",319,39,249,12.23,78.06
"198",1986,"Small cap","Med BM",383,58,187,15.14,48.83
"199",1986,"Small cap","High BM",537,137,291,25.51,54.19
"200",1986,"Medium cap","Low BM",395,92,179,23.29,45.32
"201",1986,"Medium cap","Med BM",658,326,104,49.54,15.81
"202",1986,"Medium cap","High BM",457,270,142,59.08,31.07
"203",1986,"Large cap","Low BM",345,235,28,68.12,8.12
"204",1986,"Large cap","Med BM",620,529,45,85.32,7.26
"205",1986,"Large cap","High BM",264,241,54,91.29,20.45
"206",1987,"Small cap","Low BM",338,58,268,17.16,79.29
"207",1987,"Small cap","Med BM",394,61,200,15.48,50.76
"208",1987,"Small cap","High BM",559,112,297,20.04,53.13
"209",1987,"Medium cap","Low BM",436,91,217,20.87,49.77
"210",1987,"Medium cap","Med BM",648,284,130,43.83,20.06
"211",1987,"Medium cap","High BM",454,249,140,54.85,30.84
"212",1987,"Large cap","Low BM",353,227,38,64.31,10.76
"213",1987,"Large cap","Med BM",709,587,79,82.79,11.14
"214",1987,"Large cap","High BM",228,202,52,88.6,22.81
"215",1988,"Small cap","Low BM",382,63,296,16.49,77.49
"216",1988,"Small cap","Med BM",405,51,196,12.59,48.4
"217",1988,"Small cap","High BM",585,96,339,16.41,57.95
"218",1988,"Medium cap","Low BM",503,107,254,21.27,50.5
"219",1988,"Medium cap","Med BM",707,280,123,39.6,17.4
"220",1988,"Medium cap","High BM",431,213,138,49.42,32.02
"221",1988,"Large cap","Low BM",444,287,38,64.64,8.56
"222",1988,"Large cap","Med BM",697,577,50,82.78,7.17
"223",1988,"Large cap","High BM",181,159,24,87.85,13.26
"224",1989,"Small cap","Low BM",432,63,323,14.58,74.77
"225",1989,"Small cap","Med BM",342,46,169,13.45,49.42
"226",1989,"Small cap","High BM",612,110,350,17.97,57.19
"227",1989,"Medium cap","Low BM",536,116,268,21.64,50
"228",1989,"Medium cap","Med BM",692,275,137,39.74,19.8
"229",1989,"Medium cap","High BM",511,270,148,52.84,28.96
"230",1989,"Large cap","Low BM",456,295,49,64.69,10.75
"231",1989,"Large cap","Med BM",748,639,46,85.43,6.15
"232",1989,"Large cap","High BM",190,163,16,85.79,8.42
"233",1990,"Small cap","Low BM",461,89,352,19.31,76.36
"234",1990,"Small cap","Med BM",398,47,197,11.81,49.5
"235",1990,"Small cap","High BM",647,116,379,17.93,58.58
"236",1990,"Medium cap","Low BM",584,148,272,25.34,46.58
"237",1990,"Medium cap","Med BM",727,319,162,43.88,22.28
"238",1990,"Medium cap","High BM",529,284,160,53.69,30.25
"239",1990,"Large cap","Low BM",472,277,65,58.69,13.77
"240",1990,"Large cap","Med BM",803,667,47,83.06,5.85
"241",1990,"Large cap","High BM",182,162,28,89.01,15.38
"242",1991,"Small cap","Low BM",416,86,316,20.67,75.96
"243",1991,"Small cap","Med BM",388,48,213,12.37,54.9
"244",1991,"Small cap","High BM",688,139,389,20.2,56.54
"245",1991,"Medium cap","Low BM",630,142,285,22.54,45.24
"246",1991,"Medium cap","Med BM",715,314,134,43.92,18.74
"247",1991,"Medium cap","High BM",519,274,171,52.79,32.95
"248",1991,"Large cap","Low BM",490,278,58,56.73,11.84
"249",1991,"Large cap","Med BM",827,669,62,80.89,7.5
"250",1991,"Large cap","High BM",169,146,37,86.39,21.89
"251",1992,"Small cap","Low BM",443,93,317,20.99,71.56
"252",1992,"Small cap","Med BM",415,63,186,15.18,44.82
"253",1992,"Small cap","High BM",699,157,378,22.46,54.08
"254",1992,"Medium cap","Low BM",655,169,310,25.8,47.33
"255",1992,"Medium cap","Med BM",717,294,143,41,19.94
"256",1992,"Medium cap","High BM",581,295,189,50.77,32.53
"257",1992,"Large cap","Low BM",493,276,78,55.98,15.82
"258",1992,"Large cap","Med BM",846,673,89,79.55,10.52
"259",1992,"Large cap","High BM",208,170,48,81.73,23.08
"260",1993,"Small cap","Low BM",458,98,316,21.4,69
"261",1993,"Small cap","Med BM",449,84,189,18.71,42.09
"262",1993,"Small cap","High BM",749,192,350,25.63,46.73
"263",1993,"Medium cap","Low BM",658,176,322,26.75,48.94
"264",1993,"Medium cap","Med BM",793,294,177,37.07,22.32
"265",1993,"Medium cap","High BM",599,278,162,46.41,27.05
"266",1993,"Large cap","Low BM",577,318,88,55.11,15.25
"267",1993,"Large cap","Med BM",863,694,83,80.42,9.62
"268",1993,"Large cap","High BM",218,179,52,82.11,23.85
