"","mapped_fyear","total_firms","total_DD","total_NegE","percent_DD","percent_NegE"
"1",1964,12,11,3,91.67,25
"2",1965,104,92,7,88.46,6.73
"3",1966,169,155,10,91.72,5.92
"4",1967,212,182,11,85.85,5.19
"5",1968,263,212,14,80.61,5.32
"6",1969,342,267,22,78.07,6.43
"7",1970,613,465,62,75.86,10.11
"8",1971,1712,1302,205,76.05,11.97
"9",1972,1876,1354,217,72.17,11.57
"10",1973,2112,1483,159,70.22,7.53
"11",1974,2979,2036,223,68.35,7.49
"12",1975,3280,2307,305,70.34,9.3
"13",1976,3507,2434,422,69.4,12.03
"14",1977,3476,2525,328,72.64,9.44
"15",1978,3362,2550,300,75.85,8.92
"16",1979,3356,2531,288,75.42,8.58
"17",1980,3370,2444,354,72.52,10.5
"18",1981,3398,2345,473,69.01,13.92
"19",1982,3549,2237,662,63.03,18.65
"20",1983,3670,2165,951,58.99,25.91
"21",1984,3819,2096,1023,54.88,26.79
"22",1985,3983,2022,1065,50.77,26.74
"23",1986,3972,1927,1279,48.51,32.2
"24",1987,4116,1871,1421,45.46,34.52
"25",1988,4333,1833,1458,42.3,33.65
"26",1989,4516,1977,1506,43.78,33.35
"27",1990,4802,2109,1662,43.92,34.61
"28",1991,4840,2096,1665,43.31,34.4
"29",1992,5052,2190,1738,43.35,34.4
"30",1993,5359,2313,1739,43.16,32.45
"31",1994,5923,2500,1901,42.21,32.1
"32",1995,6126,2471,1870,40.34,30.53
"33",1996,6522,2574,2111,39.47,32.37
"34",1997,6771,2611,2258,38.56,33.35
"35",1998,6675,2555,2309,38.28,34.59
"36",1999,6260,2405,2326,38.42,37.16
"37",2000,6060,2336,2459,38.55,40.58
"38",2001,5580,2058,2366,36.88,42.4
"39",2002,5075,1774,2394,34.96,47.17
"40",2003,4661,1647,1893,35.34,40.61
"41",2004,4573,1783,1632,38.99,35.69
"42",2005,5180,2395,1435,46.24,27.7
"43",2006,5114,2355,1418,46.05,27.73
"44",2007,5011,2251,1409,44.92,28.12
"45",2008,4852,2153,1545,44.37,31.84
"46",2009,4539,2000,1830,44.06,40.32
"47",2010,4398,1882,1791,42.79,40.72
"48",2011,4279,1898,1303,44.36,30.45
"49",2012,4190,1926,1231,45.97,29.38
"50",2013,4126,2018,1247,48.91,30.22
"51",2014,4259,2069,1391,48.58,32.66
"52",2015,4351,2127,1481,48.89,34.04
"53",2016,4236,2061,1594,48.65,37.63
"54",2017,4199,2008,1587,47.82,37.79
"55",2018,4203,2017,1602,47.99,38.12
"56",2019,4210,2015,1594,47.86,37.86
"57",2020,4164,1952,1694,46.88,40.68
"58",2021,4481,1973,2215,44.03,49.43
"59",2022,4794,1955,2151,40.78,44.87
"60",2023,4457,1856,2125,41.64,47.68
