"","mapped_fyear","total_firms","A_NA","D_NA","E_NA","AC_NA"
"1",1963,84,1,0,0,84
"2",1964,1037,6,7,5,1026
"3",1965,1263,6,5,5,1160
"4",1966,1510,5,5,5,1342
"5",1967,1624,6,6,6,1415
"6",1968,1743,5,6,5,1481
"7",1969,1899,7,6,8,1555
"8",1970,2033,8,3,7,1417
"9",1971,2115,6,2,5,396
"10",1972,2400,10,6,9,508
"11",1973,3538,9,9,11,1416
"12",1974,3766,50,52,53,735
"13",1975,4081,8,16,14,751
"14",1976,4074,15,21,20,427
"15",1977,4037,14,24,24,439
"16",1978,4033,13,20,18,554
"17",1979,4113,14,23,22,668
"18",1980,4167,24,31,30,715
"19",1981,4368,32,41,39,895
"20",1982,4530,41,50,48,911
"21",1983,4864,134,148,144,1138
"22",1984,5172,190,198,197,1308
"23",1985,5270,231,242,240,1243
"24",1986,5485,280,299,297,1467
"25",1987,5823,387,416,428,1651
"26",1988,5887,492,513,523,1507
"27",1989,5838,527,599,562,1265
"28",1990,5783,561,621,580,921
"29",1991,5857,618,684,630,966
"30",1992,6106,670,748,689,1002
"31",1993,6585,826,900,837,1171
"32",1994,7204,382,405,405,1222
"33",1995,7416,392,402,403,1234
"34",1996,7758,384,406,396,1189
"35",1997,7987,385,406,406,1161
"36",1998,7846,363,407,385,1107
"37",1999,7447,364,404,376,1111
"38",2000,7281,360,392,370,1147
"39",2001,6801,384,409,386,1140
"40",2002,6274,408,431,412,1116
"41",2003,5877,432,451,439,1125
"42",2004,5753,449,472,462,1100
"43",2005,5721,469,485,478,483
"44",2006,5711,535,559,546,551
"45",2007,5762,690,718,715,724
"46",2008,5860,946,973,978,989
"47",2009,5569,1007,1021,1009,1013
"48",2010,5494,1074,1084,1081,1085
"49",2011,5543,1244,1256,1249,1253
"50",2012,5599,1388,1397,1394,1398
"51",2013,5551,1401,1411,1410,1414
"52",2014,5787,1491,1511,1506,1510
"53",2015,5959,1586,1600,1591,1595
"54",2016,6019,1751,1768,1764,1770
"55",2017,6104,1872,1888,1884,1891
"56",2018,6207,1963,1985,1986,1988
"57",2019,6361,2112,2133,2133,2136
"58",2020,6414,2191,2214,2225,2231
"59",2021,6992,2435,2464,2490,2492
"60",2022,7615,2793,2813,2795,2799
"61",2023,7416,2942,2954,2944,2946
