"","mapped_fyear","Size_category","BM_category","total_DD","total_NegE","total_firms"
"1",1964,"Medium cap","High BM",2,0,2
"2",1964,"Medium cap","Low BM",0,1,1
"3",1964,"Medium cap","Med BM",3,0,3
"4",1964,"Small cap","High BM",3,1,3
"5",1964,"Small cap","Med BM",3,1,3
"6",1965,"Large cap","High BM",3,0,3
"7",1965,"Large cap","Low BM",8,0,8
"8",1965,"Large cap","Med BM",6,0,6
"9",1965,"Medium cap","High BM",15,1,15
"10",1965,"Medium cap","Low BM",9,1,12
"11",1965,"Medium cap","Med BM",26,0,27
"12",1965,"Small cap","High BM",12,2,13
"13",1965,"Small cap","Low BM",0,1,3
"14",1965,"Small cap","Med BM",13,2,17
"15",1966,"Large cap","High BM",4,0,4
"16",1966,"Large cap","Low BM",15,0,16
"17",1966,"Large cap","Med BM",10,0,10
"18",1966,"Medium cap","High BM",20,2,20
"19",1966,"Medium cap","Low BM",13,0,16
"20",1966,"Medium cap","Med BM",40,1,40
"21",1966,"Small cap","High BM",16,2,20
"22",1966,"Small cap","Low BM",9,2,11
"23",1966,"Small cap","Med BM",28,3,32
"24",1967,"Large cap","High BM",4,0,4
"25",1967,"Large cap","Low BM",16,0,16
"26",1967,"Large cap","Med BM",16,0,16
"27",1967,"Medium cap","High BM",16,1,16
"28",1967,"Medium cap","Low BM",27,2,34
"29",1967,"Medium cap","Med BM",45,0,46
"30",1967,"Small cap","High BM",16,3,20
"31",1967,"Small cap","Low BM",14,3,20
"32",1967,"Small cap","Med BM",28,2,40
"33",1968,"Large cap","High BM",5,0,5
"34",1968,"Large cap","Low BM",14,0,14
"35",1968,"Large cap","Med BM",29,0,29
"36",1968,"Medium cap","High BM",16,1,16
"37",1968,"Medium cap","Low BM",37,2,60
"38",1968,"Medium cap","Med BM",50,0,51
"39",1968,"Small cap","High BM",15,6,22
"40",1968,"Small cap","Low BM",21,3,31
"41",1968,"Small cap","Med BM",25,2,35
"42",1969,"Large cap","High BM",9,0,9
"43",1969,"Large cap","Low BM",12,0,12
"44",1969,"Large cap","Med BM",31,0,32
"45",1969,"Medium cap","High BM",30,1,31
"46",1969,"Medium cap","Low BM",33,7,56
"47",1969,"Medium cap","Med BM",66,1,72
"48",1969,"Small cap","High BM",33,4,43
"49",1969,"Small cap","Low BM",11,7,26
"50",1969,"Small cap","Med BM",41,1,61
"51",1970,"Large cap","High BM",12,0,12
"52",1970,"Large cap","Low BM",12,0,12
"53",1970,"Large cap","Med BM",29,0,29
"54",1970,"Medium cap","High BM",84,4,85
"55",1970,"Medium cap","Low BM",32,1,52
"56",1970,"Medium cap","Med BM",77,2,86
"57",1970,"Small cap","High BM",150,34,201
"58",1970,"Small cap","Low BM",11,7,29
"59",1970,"Small cap","Med BM",56,14,107
"60",1971,"Large cap","High BM",48,2,49
"61",1971,"Large cap","Low BM",83,0,87
"62",1971,"Large cap","Med BM",130,3,130
"63",1971,"Medium cap","High BM",182,19,197
"64",1971,"Medium cap","Low BM",110,7,154
"65",1971,"Medium cap","Med BM",293,12,336
"66",1971,"Small cap","High BM",275,87,387
"67",1971,"Small cap","Low BM",19,17,56
"68",1971,"Small cap","Med BM",162,58,316
"69",1972,"Large cap","High BM",64,1,64
"70",1972,"Large cap","Low BM",102,0,107
"71",1972,"Large cap","Med BM",104,2,106
"72",1972,"Medium cap","High BM",221,25,247
"73",1972,"Medium cap","Low BM",102,7,159
"74",1972,"Medium cap","Med BM",300,12,362
"75",1972,"Small cap","High BM",289,94,478
"76",1972,"Small cap","Low BM",26,23,66
"77",1972,"Small cap","Med BM",141,53,287
"78",1973,"Large cap","High BM",59,0,59
"79",1973,"Large cap","Low BM",76,0,80
"80",1973,"Large cap","Med BM",86,1,86
"81",1973,"Medium cap","High BM",335,9,384
"82",1973,"Medium cap","Low BM",55,3,77
"83",1973,"Medium cap","Med BM",195,3,235
"84",1973,"Small cap","High BM",559,111,943
"85",1973,"Small cap","Low BM",13,16,43
"86",1973,"Small cap","Med BM",100,15,205
"87",1974,"Large cap","High BM",80,0,80
"88",1974,"Large cap","Low BM",60,0,61
"89",1974,"Large cap","Med BM",71,0,72
"90",1974,"Medium cap","High BM",437,9,485
"91",1974,"Medium cap","Low BM",61,2,87
"92",1974,"Medium cap","Med BM",202,0,225
"93",1974,"Small cap","High BM",963,165,1580
"94",1974,"Small cap","Low BM",18,24,68
"95",1974,"Small cap","Med BM",142,21,321
"96",1975,"Large cap","High BM",113,1,113
"97",1975,"Large cap","Low BM",68,0,72
"98",1975,"Large cap","Med BM",111,0,113
"99",1975,"Medium cap","High BM",488,22,520
"100",1975,"Medium cap","Low BM",66,4,99
"101",1975,"Medium cap","Med BM",281,4,331
"102",1975,"Small cap","High BM",988,210,1594
"103",1975,"Small cap","Low BM",27,23,80
"104",1975,"Small cap","Med BM",161,38,358
"105",1976,"Large cap","High BM",122,3,123
"106",1976,"Large cap","Low BM",57,0,62
"107",1976,"Large cap","Med BM",140,0,143
"108",1976,"Medium cap","High BM",478,30,522
"109",1976,"Medium cap","Low BM",56,9,84
"110",1976,"Medium cap","Med BM",346,7,398
"111",1976,"Small cap","High BM",1008,267,1637
"112",1976,"Small cap","Low BM",27,44,108
"113",1976,"Small cap","Med BM",198,61,429
"114",1977,"Large cap","High BM",124,0,125
